sample_id,video_id,channel_id,publish_time,input_window_start_h,input_window_end_h,target_window_start_h,target_window_end_h,views_48h,views_72h,next_24h_views,log_next_24h_views
D6QLAoePQZM_first48h,D6QLAoePQZM,UCmnZL4tFRl4sm-uJOxTLHmg,2026-05-08 11:00:06+00:00,0,48,48,72,326088.0160299225,347182.1688888889,21094.15285896638,9.956798570750076
BUiqx2E4I5E_first48h,BUiqx2E4I5E,UCuTAXTexrhetbOe3zgskJBQ,2026-05-08 10:33:14+00:00,0,48,48,72,22766.90501672241,25623.44942160965,2856.5444048872414,7.957717935316288
7n6BQcIVTNc_first48h,7n6BQcIVTNc,UC6wvdADTJ88OfIbJYIpAaDA,2026-05-08 16:07:42+00:00,0,48,48,72,336111.0,348243.7411847673,12132.741184767277,9.403745378520952
lc--p7eVBHY_first48h,lc--p7eVBHY,UCzzF1kdBgwv5RB6rbB6kVSA,2026-05-07 22:53:00+00:00,0,48,48,72,700045.5035294117,821260.0626450116,121214.55911559984,11.70532571991917
8M7-QcI01yY_first48h,8M7-QcI01yY,UChqUTb7kYRX8-EiaN3XFrSQ,2026-05-08 15:38:09+00:00,0,48,48,72,3715.0,3914.039751552795,199.03975155279522,5.298516104562306
49QcHrpAy1w_first48h,49QcHrpAy1w,UC9DWR5r56dXZL1SYmUiUc2w,2026-05-08 16:27:35+00:00,0,48,48,72,52.0,53.0,1.0,0.6931471805599453
d1-jRWVytzA_first48h,d1-jRWVytzA,UChWoDluh-gUgIpqzG1m-Sng,2026-05-08 16:00:06+00:00,0,48,48,72,4457.0,4545.68604929409,88.68604929408957,4.4963152307049565
5pJZdzw4Kag_first48h,5pJZdzw4Kag,UC05cNJvMKzDLRPo59X2Xx7g,2026-05-06 22:26:52+00:00,0,48,48,72,372016.14285714284,379540.7252747253,7524.582417582453,8.926063484307406
eWRizNQrh6I_first48h,eWRizNQrh6I,UCfdLDnGcRM3okEOtocWNHuQ,2026-05-08 12:48:14+00:00,0,48,48,72,97858.0,98638.50588812561,780.5058881256118,6.661222684222927
3l5982osFNk_first48h,3l5982osFNk,UC6kZpTl39-_SqfBrF1-N2oQ,2026-05-07 13:05:50+00:00,0,48,48,72,68923.0,70296.48378127896,1373.4837812789629,7.225833507811393
u0j71OZ1Y5U_first48h,u0j71OZ1Y5U,UCDCJyLpbfgeVE9iZiEam-Kg,2026-05-08 12:56:46+00:00,0,48,48,72,488.0,490.0,2.0,1.0986122886681098
-Pt4U1nsOwE_first48h,-Pt4U1nsOwE,UCACRQnfs6_wOuX5ngWABkJg,2026-05-08 15:41:33+00:00,0,48,48,72,9014.0,9861.228782287822,847.2287822878225,6.743150389838761
BNIomgSPGtU_first48h,BNIomgSPGtU,UCAVR6Q0YgYa8xwz8rdg9Mrg,2026-05-08 13:02:24+00:00,0,48,48,72,617462.0,632901.279287948,15439.27928794804,9.644734912012842
0Q-fxRJakCY_first48h,0Q-fxRJakCY,UCe3uJZIjfYwNNR0S6W3GvEA,2026-05-08 11:50:35+00:00,0,48,48,72,228823.2222664016,232995.77333974975,4172.55107334815,8.336522528749914
SIrx0qoRO9k_first48h,SIrx0qoRO9k,UCtmU4jurM43b268MbBAIklw,2026-05-08 16:04:37+00:00,0,48,48,72,13810.0,13813.914677381234,3.9146773812335596,1.5922261118178092
kXd8JO8HqY8_first48h,kXd8JO8HqY8,UC5DOK_H_fkhHBw_7pl0TViQ,2026-05-08 16:20:16+00:00,0,48,48,72,2439.8780694326842,2519.866666666667,79.98859723398255,4.394308369873619
igGfDRY9WTE_first48h,igGfDRY9WTE,UCMYlXK0jyerVnc3dmz-vjCA,2026-05-07 23:05:42+00:00,0,48,48,72,488.6177156177156,491.07182940516276,2.45411378744717,1.2395659228550377
4CAdOte2zfA_first48h,4CAdOte2zfA,UCmbagenu_49x_Mzb_-L3DVA,2026-05-08 15:59:03+00:00,0,48,48,72,177958.0,177972.73132926258,14.731329262576764,2.755654218431617
Fxq9qS1rlZg_first48h,Fxq9qS1rlZg,UCCj2OE6mkIuPY3vP4pazmqQ,2026-05-08 15:57:10+00:00,0,48,48,72,51438.0,52773.69430051814,1335.6943005181383,7.19795490512315
7F7LQhYP3Ew_first48h,7F7LQhYP3Ew,UCTHCOPwqNfZ0uiKOvFyhGwg,2026-05-07 21:00:05+00:00,0,48,48,72,1272.7011217948718,1336.383152173913,63.68203037904118,4.169483425357853
N6q21mPok1E_first48h,N6q21mPok1E,UC-f4h9oSW5JreShkauu0m1A,2026-05-07 20:59:48+00:00,0,48,48,72,112778.15292233787,136174.38354037266,23396.23061803478,10.060372944685286
fm5Yto58HvQ_first48h,fm5Yto58HvQ,UCpu3bemTQwAU8PqM4kJdoEQ,2026-05-07 00:32:02+00:00,0,48,48,72,4265.44784768212,4401.607128764961,136.15928108284152,4.921142886131884
k8PC_N_XJiY_first48h,k8PC_N_XJiY,UCV4vOEEG8DXZyLSl5P9lLmg,2026-05-08 13:10:30+00:00,0,48,48,72,1958.0,2129.164711403097,171.16471140309704,5.148451643020301
muaXx9dp4k4_first48h,muaXx9dp4k4,UCQhaZjODkIjuv38d-i5TVRw,2026-05-08 11:26:29+00:00,0,48,48,72,16937.05359957961,17949.970194789956,1012.9165952103467,6.921575927523911
p8kDo0lCb0U_first48h,p8kDo0lCb0U,UCnLN4e9bOcN8a9v3EQ1QApg,2026-05-08 16:10:38+00:00,0,48,48,72,31710.912265386294,32108.407233757534,397.49496837124025,5.987694871729578
aqpJc_eiSuM_first48h,aqpJc_eiSuM,UCUQPlc6ur83fAUxWO_Tkscw,2026-05-08 15:04:37+00:00,0,48,48,72,61621.0,61637.61792232101,16.617922321012884,2.8689166976083462
bR3CqRt6B-w_first48h,bR3CqRt6B-w,UCeA0fcfLVewbuD7H5YsrpdA,2026-05-08 15:14:22+00:00,0,48,48,72,36596.0,36757.0,161.0,5.087596335232384
JBRzy8w3t2g_first48h,JBRzy8w3t2g,UCeY0bbntWzzVIaj2z3QigXg,2026-05-08 15:51:59+00:00,0,48,48,72,28111.0,28853.053193632884,742.0531936328844,6.6107676352007045
coH9yuEWgMw_first48h,coH9yuEWgMw,UCp1KrVaZDZ7BOI_QBuTWWmg,2026-05-08 13:39:15+00:00,0,48,48,72,11421.0,11456.906491680338,35.90649168033815,3.6083874618696923
-J4VoHt5x-A_first48h,-J4VoHt5x-A,UCDvm7YoLE5r3ZZ6MWyD2vGQ,2026-05-08 12:31:30+00:00,0,48,48,72,69160.0,70362.56339348489,1202.5633934848884,7.093041930106669
